/e/,b,bt,c,ch,ck,d,dge,f,ft,g,gh,j,k,l,lch,ld,lk,lm,lp,lt,lth,m,mn,n,nce,nch,nd,nk,ng,nse,nt,p,ph,pt,que,r,rt,s,sh,ss,st,t,tch,v,w,x,y,z,
b,,,,,beck,bed,,,,beg,,,,bell,belch,,,,,belt,,,,Ben,,bench,bend,,,,bent,,,,,,,,,Bess,best,bet,,,,,,&nbsp;,
bl,,,,,,bled,,,,,,,,,,,,,,,,,,,,,blend,,,,,,,,,,,,,bless,,,,,,,,&nbsp;,
br,,,,,,bread,,bref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,breast,Brett,,,,,,&nbsp;,
c,,,,,,,,,,,,,,,,,,,,Celt,,,,,,,,,,,,,,,,,,,,,,cut,,,,,,&nbsp;,
ch,,,,,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheque,,,,,chess,chest,,,,,,,&nbsp;,
cl,,,,,,,,clef,cleft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
cr,,,,,,cred,,,,,,,,,,,,,,,,,,,,,,,,,,crepe,,crept,,,,,,cress,crest,,,,,,,&nbsp;,
d,,debt,,,deck,dead,,deaf,,,,,,dell,,,,,,dealt,,Dem,,den,,,,,,dense,dent,Depp,,,,,,,,,,,,,,,,&nbsp;,
dr,,,,,dreck,dread,dredge,,,dreg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dress,,,,,,,,&nbsp;,
f,,,,,,fed,,,,,,,,fell,,,,,,felt,,,,fen,fence,,fend,,,,,,,,,,,,,fess,,,fetch,,,,,fez,
fl,,,,,fleck,fled,fledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flesh,,,,,,,flex,,&nbsp;,
fr,,,,,,Fred,,,,,,,,,,,,,,,,,,,,French,friend,,,,,,,,,,,,fresh,,,fret,,,,,,&nbsp;,
g,,,,,,,,,,,,,,gel,,geld,,,,,,gem,,gen,,,,,,,,,,,,,,,,guess,guest,get,,,,,,&nbsp;,
gh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
gl,,,,,,,,,,,,,,,,,,,,,,,,glen,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
gn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
gr,,,,,,,,,,Greg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
h,,,,,heck,head,hedge,,,,,,,hell,,held,,helm,help,,health,hem,,hen,hence,,,,,,,,,,,,,,,Hess,,,,,,,,&nbsp;,
j,,,,,,,,Jeff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jess,jest,jet,,,,,,&nbsp;,
k,,,,,,,,,,keg,,,Kek,,,,,,,,,,,Ken,,,,,,,,,,kept,,,,,,,,,ketch,,,,,&nbsp;,
kn,,,,,,,,,,,,,,knell,,,,,,knelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
l,,,,,,led,ledge,,left,leg,,,,,,,,,,,,,,,,,lend,,,,,,,leapt,,,,,,less,lest,let,letch,,,,,&nbsp;,
m,,,,,,med,,,,Meg,,,,,,,,,,melt,,,,men,,,mend,,,,meant,,,,,,,,,mess,,met,,,,,,&nbsp;,
n,,,,,neck,Ned,,,,,,,,Nell,,,,,,,,,,,,,,,,,,,,,,,,,,Ness,nest,net,,,,,,&nbsp;,
p,,,,,peck,,,,,peg,,,,,,,,,,,,,,pen,pence,,,,,,pent,pep,,,,,,,,,pest,pet,,,,,,&nbsp;,
ph,,,,,,,,,,,,,,,,,,,,,,phlegm,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
pl,pleb,,,,,pled,pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prep,,,,,,,,press,,,,,,,,&nbsp;,
r,,,,,,red,,,,,,,,,,,,realm,,,,,,,,,rend,,,,rent,,,,,,,,,,rest,,retch,rev,,Rex,,&nbsp;,
s,,,,,,said,sedge,,,,,,,sell,,,,,,,,,,,,,send,,,sense,sent,,,,,,,,,,,set,,,,sex,,&nbsp;,
sc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
sch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
scr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
sh,,,,,,shed,,,,,,,,shell,,,,,,,,Shem,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
shr,,,,,,shred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sketch,,,,,&nbsp;,
sl,,,,,,sled,sledge,,,,,,,,,,,,,,,,,,,,,,,,,,,slept,,,,,,,,,,,,,,&nbsp;,
sm,,,,,,,,,,,,,,,,,,,smelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
sn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
sp,,,,,,,,,,,,,,spell,,,,,,spelt,,,,,,,,,,,spent,,,,,,,,,,,,,,,,,&nbsp;,
sph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
spl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
spr,,,,,,spread,,,,,,,,,,,,,,,,,,venn,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
squ,,,,,,,,,,,,,,,squelch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
st,,,,,,stead,,,,,,,,,,,,,,,stealth,stem,,Sten,,stench,,,,,,step,,,,,,,,,,,,,,,,&nbsp;,
str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stress,wrest,,wretch,,,,,&nbsp;,
sw,,,,,,,,,,,,,,swell,,,,,,,,,,,,,,,,,,,,,,,,,,,,sweat,,,,,,&nbsp;,
t,,,,,,Ted,,,,,,,,tell,,,,,,,,,,ten,,,tend,,,tense,tent,,,,,,,,,Tess,test,Tet,,,,Tex,,&nbsp;,
th,,,,,,,,,,,,,,,,,,,,,,them,,then,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
thr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thresh,,,threat,,,,,,&nbsp;,
tr,,,,,,tread,,,,,,,trek,,,,,,,,,,,,,,trend,,,,,,,,,,,,,tress,,,,,,,,&nbsp;,
tw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
v,,,,,,,,,,,,,,,,,,,,,,,,Venn,,,,,,,vent,,,,,,,,,,vest,vet,vetch,,,,,&nbsp;,
w,web,,,,,wed,wedge,,,,,,,well,,weld,,,,wealt,wealth,,,,,wench,wend,,,,went,,,,,,,,,,west,wet,,,,,,&nbsp;,
wh,,,,,,,,,,,,,,,,,whelk,,,,,,,when,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,
wr,,,,,wreck,,,,,,,,,,,,,,whelp,,,,,wren,,wrench,,,,,,,,,,,,,,,wrest,,,,,,,&nbsp;,
y,,,,,,,,,,,,,,yell,,,,,yelp,,,,,yen,,,,,,,,,,,,,,yes,,,,yet,,,,,,&nbsp;,
