/e/,b,bt,c,ch,ck,d,dge,f,g,gh,j,k,l,lch,ld,lk,lm,lp,lt,lth,m,mn,n,nce,nch,nd,nk,ng,nt,p,pt,ph,que,r,rt,s,sh,ss,st,t,tch,v,w,x,y,z
b,&zwnj;,,,,beck,bed,,,beg,,,,bell,belch,,,,,belt,,,,Ben,,bench,bend,,,bent,,,,,,,,,Bess,best,bet,,,,,,
bl,&zwnj;,,,,,bled,,,,,,,,,,,,,,,,,,,,blend,,,,,,,,,,,,bless,,,,,,,,
br,&zwnj;,,,,,bread,,bref,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,breast,Brett,,,,,,
c,&zwnj;,,,,,,,,,,,Kek,,,,,,,Celt,,,,,,,,,,,,,,,,,,,,,cut,,,,,,
ch,&zwnj;,,,,check,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheque,,,,,chess,chest,,,,,,,
cl,&zwnj;,,,,,,,clef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cr,&zwnj;,,,,,cred,,,,,,,,,,,,,,,,,,,,,,,,crepe,crept,,,,,,,cress,crest,,,,,,,
d,&zwnj;,debt,,,deck,dead,,deaf,,,,,dell,,,,,,dealt,,Dem,,den,,,,,,dent,Depp,,,,,,,,,,,,,,,,
dr,&zwnj;,,,,dreck,dread,dredge,,dreg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f,&zwnj;,,,,,fed,,,,,,,fell,,,,,,felt,,,,fen,fence,,fend,,,,,,,,,,,,fess,,,fetch,,,,,fez
fl,&zwnj;,,,,fleck,fled,fledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flesh,,,,,,,flex,,
fr,&zwnj;,,,,,Fred,,,,,,,,,,,,,,,,,,,French,friend,,,,,,,,,,,fresh,,,fret,,,,,,
g,&zwnj;,,,,,,,,,,,,gel,,geld,,,,,,gem,,gen,,,,,,,,,,,,,,,guess,guest,get,,,,,,
gh,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gl,&zwnj;,,,,,,,,,,,,,,,,,,,,,,glen,,,,,,,,,,,,,,,,,,,,,,,
gn,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gr,&zwnj;,,,,,,,,Greg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h,&zwnj;,,,,heck,head,hedge,,,,,,hell,,held,,helm,help,,,hem,,hen,hence,,,,,,,,,,,,,,Hess,,,,,,,,
j,&zwnj;,,,,,,,Jeff,,,,,jel,,,,,,,,,,,,,,,,,,,,,,,,,Jess,jest,jet,,,,,,
k,&zwnj;,,,,,,,,,,,Kek,,,,,,,,,,,Ken,,,,,,,,kept,,,,,,,,,,,,,,,
kn,&zwnj;,,,,,,,,,,,,knell,,,,,,knelt,,,,,,,,,,,,,,,,,,,,,,,,,,,
l,&zwnj;,,,,,led,ledge,,leg,,,,,,,,,,,,,,,,,lend,,,,,leapt,,,,,,,less,lest,let,letch,,,,,
m,&zwnj;,,,,,med,,,Meg,,,,,,,,,,melt,,,,men,,,mend,,,meant,,,,,,,,,mess,,met,,,,,,
n,&zwnj;,,,,neck,Ned,,,,,,,Nell,,,,,,,,,,,,,,,,,,,,,,,,,Ness,nest,net,,,,,,
p,&zwnj;,,,,peck,,,,peg,,,,,,,,,,,,,,pen,pence,,,,,,pep,,,,,,,,,pest,pet,,,,,,
pl,pleb,,,,,pled,pledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prep,,,,,,,,press,,,,,,,,
r,&zwnj;,,,,,red,,,,,,,,,,,,,,,,,,,,rend,,,rent,,,,,,,,,,rest,,retch,rev,,Rex,,
s,&zwnj;,,,,,said,sedge,,,,,,sell,,,,,,,,,,,,,send,,,sent,,,,,,,,,,,set,,,,sex,,
sc,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sch,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scr,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sh,&zwnj;,,,,,shed,,,,,,,shell,,,,,,,,Shem,,,,,,,,,,,,,,,,,,,,,,,,,
shr,&zwnj;,,,,,shred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl,&zwnj;,,,,,sled,sledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm,&zwnj;,,,,,,,,,,,,,,,,,,smelt,,,,,,,,,,,,,,,,,,,stress,,,,,,,,
sn,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp,&zwnj;,,,,,,,,,,,,spell,,,,,,spelt,,,,,,,,,,spent,,,,,,,,,,,,,,,,,
sph,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spl,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spr,&zwnj;,,,,,spread,,,,,,,,,,,,,,,,,venn,,,,,,,,,,,,,,,,,,,,,,,
squ,&zwnj;,,,,,,,,,,,,,squelch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
st,&zwnj;,,,,,stead,,,,,,,,,,,,,,,stem,,Sten,,stench,,,,,step,,,,,,,,,,,,,,,,
str,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wrest,,wretch,,,,,
sw,&zwnj;,,,,,,,,,,,,swell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,&zwnj;,,,,,Ted,,,,,,,tell,,,,,,,,,,ten,,,tend,,,,,,,,,,,,Tess,test,Tet,,,,Tex,,
th,&zwnj;,,,,,,,,,,,,,,,,,,,,them,,then,,,,,,,,,,,,,,,,,,,,,,,
thr,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thresh,,,threat,,,,,,
tr,&zwnj;,,,,,tread,,,,,,trek,,,,,,,,,,,,,,trend,,,,,,,,,,,,tress,,,,,,,,
tw,&zwnj;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,web,,,,,wed,wedge,,,,,,well,,,,,,wealt,,,,,,,wend,,,,,,,,,,,,,west,wet,,,,,,
wh,&zwnj;,,,,,,,,,,,,,,,whelk,,,,,,,when,,,,,,,,,,,,,,,,,,,,,,,
